Date1,Order1,Product,Qty,LineTotal,Textbox19,Textbox20,Textbox24,Textbox25,Textbox29,Textbox30
"31 maja, 2011",SO43683,"Long-Sleeve Logo Jersey, L",2,"$57,68",11,"$107,44",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43683,AWC Logo Cap,3,"$15,56",11,"$107,44",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43690,AWC Logo Cap,2,"$10,37",3,"$39,21",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43690,"Long-Sleeve Logo Jersey, L",1,"$28,84",3,"$39,21",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43692,AWC Logo Cap,6,"$31,12",24,"$550,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43692,"Long-Sleeve Logo Jersey, L",10,"$288,40",24,"$550,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43692,"Long-Sleeve Logo Jersey, XL",4,"$115,36",24,"$550,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43692,"Long-Sleeve Logo Jersey, M",4,"$115,36",24,"$550,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43693,"Long-Sleeve Logo Jersey, XL",3,"$86,52",9,"$120,72",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43693,"Mountain Bike Socks, M",6,"$34,20",9,"$120,72",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43694,AWC Logo Cap,1,"$5,19",6,"$149,39",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43694,"Long-Sleeve Logo Jersey, L",2,"$57,68",6,"$149,39",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43694,"Long-Sleeve Logo Jersey, XL",3,"$86,52",6,"$149,39",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43695,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",167,"$2875,15",64569,"$1780769,91"
"1 lipca, 2011",SO43843,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43845,AWC Logo Cap,4,"$20,75",7,"$107,27",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43845,"Long-Sleeve Logo Jersey, L",3,"$86,52",7,"$107,27",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43846,AWC Logo Cap,1,"$5,19",1,"$5,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43847,"Long-Sleeve Logo Jersey, L",1,"$28,84",2,"$34,03",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43847,AWC Logo Cap,1,"$5,19",2,"$34,03",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43849,"Long-Sleeve Logo Jersey, M",1,"$28,84",5,"$144,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43849,"Long-Sleeve Logo Jersey, L",4,"$115,36",5,"$144,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43851,AWC Logo Cap,1,"$5,19",1,"$5,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43856,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43857,"Long-Sleeve Logo Jersey, L",1,"$28,84",5,"$73,24",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43857,"Long-Sleeve Logo Jersey, XL",1,"$28,84",5,"$73,24",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43857,AWC Logo Cap,3,"$15,56",5,"$73,24",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43859,"Long-Sleeve Logo Jersey, L",1,"$28,84",1,"$28,84",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43861,"Long-Sleeve Logo Jersey, XL",6,"$173,04",27,"$565,81",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43861,AWC Logo Cap,9,"$46,68",27,"$565,81",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43861,"Long-Sleeve Logo Jersey, L",9,"$259,56",27,"$565,81",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43861,"Long-Sleeve Logo Jersey, M",3,"$86,52",27,"$565,81",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43862,"Mountain Bike Socks, M",4,"$22,80",4,"$22,80",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43863,AWC Logo Cap,1,"$5,19",1,"$5,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43865,AWC Logo Cap,3,"$15,56",8,"$159,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43865,"Long-Sleeve Logo Jersey, L",5,"$144,20",8,"$159,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43866,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43867,"Long-Sleeve Logo Jersey, M",3,"$86,52",12,"$205,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43867,"Mountain Bike Socks, M",2,"$11,40",12,"$205,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43867,AWC Logo Cap,4,"$20,75",12,"$205,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43867,"Long-Sleeve Logo Jersey, XL",1,"$28,84",12,"$205,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43867,"Long-Sleeve Logo Jersey, L",2,"$57,68",12,"$205,19",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43870,"Long-Sleeve Logo Jersey, L",3,"$86,52",3,"$86,52",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43871,AWC Logo Cap,1,"$5,19",3,"$62,87",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43871,"Long-Sleeve Logo Jersey, L",2,"$57,68",3,"$62,87",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43872,AWC Logo Cap,4,"$20,75",8,"$136,11",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43872,"Long-Sleeve Logo Jersey, XL",4,"$115,36",8,"$136,11",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43873,"Long-Sleeve Logo Jersey, L",5,"$144,20",7,"$201,88",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43873,"Long-Sleeve Logo Jersey, M",1,"$28,84",7,"$201,88",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43873,"Long-Sleeve Logo Jersey, XL",1,"$28,84",7,"$201,88",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43875,"Long-Sleeve Logo Jersey, L",2,"$57,68",11,"$223,66",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43875,"Mountain Bike Socks, M",2,"$11,40",11,"$223,66",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43875,"Long-Sleeve Logo Jersey, XL",3,"$86,52",11,"$223,66",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43875,"Long-Sleeve Logo Jersey, M",2,"$57,68",11,"$223,66",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43875,AWC Logo Cap,2,"$10,37",11,"$223,66",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43877,"Mountain Bike Socks, M",5,"$28,50",10,"$172,70",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43877,"Long-Sleeve Logo Jersey, L",4,"$115,36",10,"$172,70",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43877,"Long-Sleeve Logo Jersey, XL",1,"$28,84",10,"$172,70",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43879,AWC Logo Cap,13,"$63,87",20,"$265,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43879,"Long-Sleeve Logo Jersey, XL",1,"$28,84",20,"$265,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43879,"Long-Sleeve Logo Jersey, L",2,"$57,68",20,"$265,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43879,"Long-Sleeve Logo Jersey, M",4,"$115,36",20,"$265,76",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43881,"Long-Sleeve Logo Jersey, M",2,"$57,68",23,"$161,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43881,"Mountain Bike Socks, M",21,"$104,24",23,"$161,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43883,AWC Logo Cap,2,"$10,37",2,"$10,37",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43884,"Long-Sleeve Logo Jersey, M",1,"$28,84",29,"$554,58",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43884,AWC Logo Cap,8,"$41,49",29,"$554,58",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43884,"Mountain Bike Socks, M",4,"$22,80",29,"$554,58",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43884,"Long-Sleeve Logo Jersey, XL",6,"$173,04",29,"$554,58",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43884,"Long-Sleeve Logo Jersey, L",10,"$288,40",29,"$554,58",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43885,"Mountain Bike Socks, M",8,"$45,60",12,"$68,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43885,"Mountain Bike Socks, L",4,"$22,80",12,"$68,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43886,"Long-Sleeve Logo Jersey, XL",1,"$28,84",16,"$319,52",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43886,"Long-Sleeve Logo Jersey, L",4,"$115,36",16,"$319,52",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43886,AWC Logo Cap,6,"$31,12",16,"$319,52",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43886,"Long-Sleeve Logo Jersey, M",5,"$144,20",16,"$319,52",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43889,"Long-Sleeve Logo Jersey, XL",2,"$57,68",2,"$57,68",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43890,"Mountain Bike Socks, M",4,"$22,80",4,"$22,80",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43891,"Mountain Bike Socks, L",2,"$11,40",6,"$34,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43891,"Mountain Bike Socks, M",4,"$22,80",6,"$34,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43892,AWC Logo Cap,3,"$15,56",6,"$102,08",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43892,"Long-Sleeve Logo Jersey, L",3,"$86,52",6,"$102,08",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43894,"Mountain Bike Socks, M",8,"$45,60",11,"$62,70",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43894,"Mountain Bike Socks, L",3,"$17,10",11,"$62,70",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43895,"Long-Sleeve Logo Jersey, M",2,"$57,68",12,"$204,16",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43895,"Long-Sleeve Logo Jersey, XL",4,"$115,36",12,"$204,16",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43895,AWC Logo Cap,6,"$31,12",12,"$204,16",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43896,"Long-Sleeve Logo Jersey, L",4,"$115,36",4,"$115,36",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43897,"Long-Sleeve Logo Jersey, L",2,"$57,68",17,"$187,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43897,"Long-Sleeve Logo Jersey, XL",2,"$57,68",17,"$187,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43897,"Mountain Bike Socks, M",10,"$57,00",17,"$187,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43897,AWC Logo Cap,3,"$15,56",17,"$187,92",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43898,"Long-Sleeve Logo Jersey, L",11,"$300,54",23,"$481,04",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43898,"Long-Sleeve Logo Jersey, M",3,"$86,52",23,"$481,04",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43898,AWC Logo Cap,7,"$36,31",23,"$481,04",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43898,"Long-Sleeve Logo Jersey, XL",2,"$57,68",23,"$481,04",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43899,"Long-Sleeve Logo Jersey, XL",2,"$57,68",2,"$57,68",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43900,"Mountain Bike Socks, L",4,"$22,80",12,"$68,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43900,"Mountain Bike Socks, M",8,"$45,60",12,"$68,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43901,"Long-Sleeve Logo Jersey, L",6,"$173,04",11,"$201,54",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43901,"Mountain Bike Socks, M",5,"$28,50",11,"$201,54",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43902,"Long-Sleeve Logo Jersey, XL",1,"$28,84",16,"$275,30",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43902,AWC Logo Cap,2,"$10,37",16,"$275,30",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43902,"Mountain Bike Socks, M",6,"$34,20",16,"$275,30",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43902,"Long-Sleeve Logo Jersey, M",1,"$28,84",16,"$275,30",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43902,"Long-Sleeve Logo Jersey, L",6,"$173,04",16,"$275,30",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43906,AWC Logo Cap,7,"$36,31",43,"$435,86",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43906,"Mountain Bike Socks, M",26,"$111,15",43,"$435,86",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43906,"Long-Sleeve Logo Jersey, XL",2,"$57,68",43,"$435,86",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43906,"Long-Sleeve Logo Jersey, L",5,"$144,20",43,"$435,86",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43906,"Long-Sleeve Logo Jersey, M",3,"$86,52",43,"$435,86",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43907,AWC Logo Cap,2,"$10,37",8,"$183,42",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43907,"Long-Sleeve Logo Jersey, XL",3,"$86,52",8,"$183,42",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43907,"Long-Sleeve Logo Jersey, M",1,"$28,84",8,"$183,42",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43907,"Long-Sleeve Logo Jersey, L",2,"$57,68",8,"$183,42",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43908,"Long-Sleeve Logo Jersey, L",2,"$57,68",2,"$57,68",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43909,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43911,"Long-Sleeve Logo Jersey, L",2,"$57,68",4,"$68,05",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43911,AWC Logo Cap,2,"$10,37",4,"$68,05",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43912,"Long-Sleeve Logo Jersey, XL",3,"$86,52",5,"$144,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43912,"Long-Sleeve Logo Jersey, M",2,"$57,68",5,"$144,20",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43913,"Long-Sleeve Logo Jersey, L",1,"$28,84",8,"$67,71",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43913,"Mountain Bike Socks, M",5,"$28,50",8,"$67,71",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43913,AWC Logo Cap,2,"$10,37",8,"$67,71",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43914,"Mountain Bike Socks, M",4,"$22,80",4,"$22,80",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43916,AWC Logo Cap,2,"$10,37",13,"$327,62",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43916,"Long-Sleeve Logo Jersey, XL",2,"$57,68",13,"$327,62",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43916,"Long-Sleeve Logo Jersey, L",6,"$173,04",13,"$327,62",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43916,"Long-Sleeve Logo Jersey, M",3,"$86,52",13,"$327,62",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43917,AWC Logo Cap,4,"$20,75",10,"$193,79",449,"$7038,58",64569,"$1780769,91"
"1 lipca, 2011",SO43917,"Long-Sleeve Logo Jersey, L",6,"$173,04",10,"$193,79",449,"$7038,58",64569,"$1780769,91"
"1 sierpnia, 2011",SO44074,AWC Logo Cap,1,"$5,19",1,"$5,19",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44075,"Mountain Bike Socks, M",2,"$11,40",3,"$17,10",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44075,"Mountain Bike Socks, L",1,"$5,70",3,"$17,10",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44077,"Long-Sleeve Logo Jersey, L",1,"$28,84",1,"$28,84",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44079,"Long-Sleeve Logo Jersey, L",4,"$115,36",15,"$337,99",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44079,"Long-Sleeve Logo Jersey, M",5,"$144,20",15,"$337,99",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44079,AWC Logo Cap,4,"$20,75",15,"$337,99",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44079,"Long-Sleeve Logo Jersey, XL",2,"$57,68",15,"$337,99",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44080,"Mountain Bike Socks, M",2,"$11,40",2,"$11,40",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44081,"Mountain Bike Socks, M",2,"$11,40",10,"$171,16",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44081,"Long-Sleeve Logo Jersey, M",2,"$57,68",10,"$171,16",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44081,AWC Logo Cap,3,"$15,56",10,"$171,16",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44081,"Long-Sleeve Logo Jersey, XL",1,"$28,84",10,"$171,16",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44081,"Long-Sleeve Logo Jersey, L",2,"$57,68",10,"$171,16",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44083,AWC Logo Cap,2,"$10,37",4,"$68,05",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44083,"Long-Sleeve Logo Jersey, L",2,"$57,68",4,"$68,05",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44085,"Long-Sleeve Logo Jersey, XL",2,"$57,68",5,"$96,89",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44085,AWC Logo Cap,2,"$10,37",5,"$96,89",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44085,"Long-Sleeve Logo Jersey, L",1,"$28,84",5,"$96,89",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44086,AWC Logo Cap,10,"$51,87",30,"$397,27",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44086,"Mountain Bike Socks, M",10,"$57,00",30,"$397,27",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44086,"Long-Sleeve Logo Jersey, M",3,"$86,52",30,"$397,27",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44086,"Long-Sleeve Logo Jersey, L",4,"$115,36",30,"$397,27",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44086,"Long-Sleeve Logo Jersey, XL",3,"$86,52",30,"$397,27",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44090,"Long-Sleeve Logo Jersey, XL",3,"$86,52",15,"$385,30",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44090,"Long-Sleeve Logo Jersey, L",7,"$201,88",15,"$385,30",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44090,AWC Logo Cap,2,"$10,37",15,"$385,30",315,"$5138,32",64569,"$1780769,91"
"1 sierpnia, 2011",SO44090,"Long-Sleeve Logo Jersey, M",3,"$86,52",15,"$385,30",315,"$5138,32",64569,"$1780769,91"
